"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"JP17","HDR-1X2","13.716mm","23.495mm","13.716mm","24.765mm","13.716mm","24.765mm","T","270.00","HDR-1X2"
"B1","BEEP_6.5x12x8.5","22.86mm","50.546mm","22.86mm","50.546mm","22.86mm","47.296mm","T","0.00","DC5V"
"C1","C_0603","10.541mm","32.1437mm","10.541mm","32.131mm","10.541mm","33.02mm","T","270.00","104"
"C2","C_0603","11.684mm","46.5963mm","11.684mm","46.609mm","11.684mm","45.72mm","T","90.00","104"
"C3","C_0603","80.899mm","84.5682mm","80.899mm","84.5809mm","80.899mm","83.6919mm","T","90.00","104"
"C4","C_0603","85.7668mm","84.5682mm","85.7668mm","84.5809mm","85.7668mm","83.6919mm","T","90.00","104"
"C5","C_0603","29.083mm","98.7933mm","29.083mm","98.806mm","29.083mm","97.917mm","T","90.00","104"
"C6","C_0603","32.893mm","67.3513mm","32.893mm","67.364mm","32.893mm","66.475mm","T","90.00","22PF"
"C7","C_0603","27.178mm","67.3767mm","27.178mm","67.364mm","27.178mm","68.253mm","T","270.00","22PF"
"C8","C_0603","69.596mm","82.6643mm","69.596mm","82.677mm","69.596mm","81.788mm","T","90.00","106"
"C9","C_0603","65.2653mm","71.755mm","65.278mm","71.755mm","64.389mm","71.755mm","T","360.00","104"
"C10","C_0603","51.4477mm","96.52mm","51.435mm","96.52mm","52.324mm","96.52mm","T","180.00","104"
"C11","C_0603","47.879mm","78.7527mm","47.879mm","78.74mm","47.879mm","79.629mm","T","270.00","104"
"C12","C_0603","66.0527mm","95.504mm","66.04mm","95.504mm","66.929mm","95.504mm","T","180.00","104"
"C13","C_0603","59.182mm","104.1527mm","59.182mm","104.14mm","59.182mm","105.029mm","T","270.00","106"
"C14","C_0603","70.612mm","90.0557mm","70.612mm","90.043mm","70.612mm","90.932mm","T","270.00","104"
"C15","C_0603","25.908mm","1.8923mm","25.908mm","1.905mm","25.908mm","1.016mm","T","90.00","15nF"
"C16","C_0603","40.767mm","1.8923mm","40.767mm","1.905mm","40.767mm","1.016mm","T","90.00","15nF"
"C17","C_0603","29.9281mm","30.7467mm","29.9281mm","30.734mm","29.9281mm","31.623mm","T","270.00","0.22uF"
"C18","C_0603","36.957mm","1.9177mm","36.957mm","1.905mm","36.957mm","2.794mm","T","270.00","15nF"
"C19","C_0603","51.3487mm","30.7467mm","51.3487mm","30.734mm","51.3487mm","31.623mm","T","270.00","0.22uF"
"C20","C_0603","52.07mm","2.2987mm","52.07mm","2.286mm","52.07mm","3.175mm","T","270.00","15nF"
"C21","C_0603","68.072mm","1.8923mm","68.072mm","1.905mm","68.072mm","1.016mm","T","90.00","15nF"
"C26","C_0603","74.3357mm","30.7467mm","74.3357mm","30.734mm","74.3357mm","31.623mm","T","270.00","0.22uF"
"C27","C_0603","78.994mm","1.9177mm","78.994mm","1.905mm","78.994mm","2.794mm","T","270.00","15nF"
"C28","C_0603","92.2572mm","84.5682mm","92.2572mm","84.5809mm","92.2572mm","83.6919mm","T","90.00","104"
"C29","C_0603","87.3894mm","84.5682mm","87.3894mm","84.5809mm","87.3894mm","83.6919mm","T","90.00","104"
"C30","C_0603","92.5384mm","8.0783mm","92.5384mm","8.091mm","92.5384mm","7.202mm","T","90.00","105"
"C31","C_0603","90.5096mm","8.0783mm","90.5096mm","8.091mm","90.5096mm","7.202mm","T","90.00","104"
"E1","CD_S(2012)","4.445mm","26.289mm","4.445mm","26.289mm","5.545mm","26.289mm","T","180.00","10uF"
"E2","CM_E(8*10.2)","5.969mm","52.324mm","5.969mm","52.324mm","9.969mm","52.324mm","T","360.00","220uf"
"E3","CM_E(8*10.2)","6.985mm","72.517mm","6.985mm","72.517mm","2.985mm","72.517mm","T","180.00","220uf"
"E4","CM_E(8*10.2)","73.025mm","101.473mm","73.025mm","101.473mm","69.025mm","101.473mm","T","180.00","220uf"
"F1","FU_1206","9.398mm","58.166mm","9.398mm","58.166mm","11.1125mm","58.166mm","T","180.00","2A"
"F2","FU_0805","1.524mm","65.151mm","1.524mm","65.151mm","1.524mm","64.008mm","T","90.00","1A"
"IC1","SOT23-3N","61.468mm","104.267mm","61.468mm","104.267mm","60.518mm","103.124mm","T","0.00","TL431"
