"Bill of Material for "
"On 2016/2/24 at 9:28:12"

"Comment","Pattern","Quantity","Components"

"","LED1-AK","18","LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18",""
"0.1uF","C0603","1","C31",""
"0","R0603","1","R24",""
"10","R0603","2","R49, R50",""
"100","R0603","32","R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48",""
"104","C0603","14","C2, C3, C4, C8, C9, C14, C15, C16, C22, C23, C24, C25, C26, C27",""
"106","C0805","6","C5, C6, C7, C17, C18, C19",""
"10K","R0603","9","R27, R32, R33, R34, R53, R54, R55, R56, R58",""
"10uF","C1206","1","C30",""
"120","R0603","1","R25",""
"12P","C0603","2","C20, C21",""
"16.9k","R0603","1","R23",""
"1K","R0603","2","R51, R52",""
"220uF","CAP_SMT_1","2","C1, C12",""
"243k","R0603","1","R4",""
"31.6K","R0603","1","R26",""
"33K","R0603","6","R1, R2, R3, R29, R30, R31",""
"4700pF","C0603","1","C10",""
"47pF","C0603","1","C11",""
"5.1K","R0603","18","R28, R57, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72, R73, R74",""
"5.5UH","L7*7","1","L1",""
"8MHz","XTAL_49SMD","1","X1","¼ÙÌùÆ¬¾§Õñ"
"D_SS14","D_3.0*5.0","2","D1, D2",""
"Header 10X2","PIN20_10*2_2.54MM_1","1","P2","Header, 10-Pin, Dual row"
"ISL3175","SO-8","1","U3",""
"L0805","L0805","1","L2",""
"MC74HC595AD","SOP16","2","U4, U5","8-Bit Serial-Input/Serial or Prallel-Output Shift Register with Latched 3-State Outputs"
"PIN5","PIN5_5*1_2.54MM_2","1","P3",""
"PIN6_6","KF350W_6","1","P1",""
"PNI12927","MLF_28","6","US1, US2, US3, US4, US5, US6",""
"PNI13104","PNI-13104","16","S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14, S15, S16",""
"S8050","SOT-23","1","Q1",""
"SMBJ5.0CA","SMBJ6.5CA","1","TVS1","Æ¬Ê½Ë²Ì¬ÒÖÖÆ¶þ¼«¹Ü"
"STM32F103R","TQFP64_STM32","1","MCU1",""
"TPS54540","SOP8_1","1","U1",""
"ULN2803","SO-G18","2","U6, U7",""
"VP230","SOP8","1","U2",""
