Comment,Description,Designator,Footprint,LibRef,Pins,Quantity

"DC5V","","B1","BEEP 6.5x12x8.5","","2","1"
"104","","C1, C2, C3, C4, C5, C9, C10, C11, C12, C14, C28, C29, C31","C 0603","","2","13"
"22PF","","C6, C7","C 0603","","2","2"
"106","","C8, C13","C 0603","","2","2"
"15nF","","C15, C16, C18, C20, C21, C27","C 0603","","2","6"
"0.22uF","","C17, C19, C26","C 0603","","2","3"
"105","","C30","C 0603","","2","1"
"10uF","","E1","CD S(2012)","","2","1"
"220uf","","E2, E3, E4","CM E(8*10.2)","","2","3"
"2A","","F1","FU 1206","","2","1"
"1A","","F2","FU 0805","","2","1"
"TL431","","IC1","SOT23-3N","TL431_","3","1"
"'DG128-5.0-2P-14","","J1","kf128-3.81-2p","","2","1"
"SLA_MINI_PCIE","","J2","MINI_PCIE","","57","1"
"HDR-1X3","","JP1, JP14","XH2.54-3P","Head","3","2"
"Header2X2","","JP2","HDR-2X2","","4","1"
"HDR-1X2","","JP3, JP17","HDR-1X2","","2","2"
"HDR-1X4","","JP4","HDR-1X4","","4","1"
"HDR-1X4","","JP5","XH2.54-4P","Head","4","1"
"HDR-1X10","","JP6","HDR-1X10","","10","1"
"HDR-1X14","","JP7","HDR-1X14","","14","1"
"HDR-1X16","","JP8","HDR-1X16","","16","1"
"HDR-1X2","","JP9, JP10, JP11","KF128-3.81-2P","","2","3"
"HDR-1X4","","JP12, JP13","XH2.54-4P_H","Head","4","2"
"HDR-1X7","","JP15","XH2.54-7P","Head","7","1"
"HDR-1X5","","JP16","XH2.54-5P_H","Head","5","1"
"15uH","","L1","CDRH73","","2","1"
"10um","","L2, L3","L 0805","","2","2"
"ºìÉ«","","LED1, LED2, LED3","LED 0603R","LED-SMD","2","3"
"SS8050","","Q1, Q3","SOT23-3N","8050","3","2"
"SS8550","","Q2","SOT23-3N","8550","3","1"
"10K","","R1, R3, R9, R13, R14, R15, R16, R19, R20, R23, R25, R29, R32, R33, R34, R46","R 0603","","2","16"
"3.24K","","R2","R 0603","","2","1"
"1K","","R4, R5, R6, R8, R10, R11, R12, R35, R36, R37, R38, R39, R40, R41, R42, R43, R45, R47, R48","R 0603","","2","19"
"1M","","R7","R 0603","","2","1"
"0R5","","R17, R18, R28","RS 3W-V7","","2","3"
"1k","","R21, R27","RCA-8P4R-0603","","8","2"
"100","","R22","RCA-8P4R-0603","","8","1"
"4.7K","","R24, R26, R30, R31","R 0603","","2","4"
"0","","R44","R 0603","","2","1"
"HR911105A","","RJ1","RJ-45A12","","13","1"
"6x6x5","","SW1","TSW DIP-6*6*6","TSW","4","1"
"TEST TP","","TP2, TP3, TP5, TP6, TP9, TP10, TP12, TP13, TP15","TEST TP1.4_BK","","1","9"
"TPS5430DDA","","U1","SOP8_N","TPS5430/1","8","1"
"USR-WIFI232-A/B/D","","U2","USR-WIFI232-A/B/D","","15","1"
"STM32F103V","","U3","LQFP100 14X14_N","STM32F103V","100","1"
"WS2812","","U4","WS2812","","4","1"
"L6201PS","µç»úÇý?","U5, U6, U8","SO_POWERSO20","L6201PS","21","3"
"TLP281-4","","U7","SOP16_n","","16","1"
"LM324","","U9","SOP14_n","","14","1"
"AMS1117-3V3","","V1","SOT223_M","AMS1","3","1"
"SS34","","VD1","SMA","","2","1"
"26M","","X1","XTAL-3225","","4","1"
